2021-05-07 16:40:02,423 stock_history INFO     HTMLSession created.
2021-05-07 16:46:41,077 root WARNING  CTVA exists, {'Company': 'Corteva, Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 0.65, 'Reported EPS': 0.79, 'Surprise(%)': 21.91, 'Earnings Date': '2021-05-03'} data overwritten Corteva, Inc. Time Not Supplied 0.65 0.79 +21.91
2021-05-07 16:46:41,077 root WARNING  CRL exists, {'Company': 'Charles River Laboratories International, Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 2.19, 'Reported EPS': 2.53, 'Surprise(%)': 15.42, 'Earnings Date': '2021-05-03'} data overwritten Charles River Laboratories International, Inc. Time Not Supplied 2.19 2.53 +15.42
2021-05-07 16:46:41,077 root WARNING  OCN exists, {'Company': 'Ocwen Financial Corporation', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 0.22, 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-03'} data overwritten Ocwen Financial Corporation Time Not Supplied 0.22 - -
2021-05-07 16:46:41,077 root WARNING  INFN exists, {'Company': 'Infinera Corporation', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': -0.06, 'Reported EPS': -0.03, 'Surprise(%)': 50.82, 'Earnings Date': '2021-05-03'} data overwritten Infinera Corporation Time Not Supplied -0.06 -0.03 +50.82
2021-05-07 16:46:41,077 root WARNING  CLDT exists, {'Company': 'Chatham Lodging Trust', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': -0.48, 'Reported EPS': 0.06, 'Surprise(%)': 112.5, 'Earnings Date': '2021-05-03'} data overwritten Chatham Lodging Trust Time Not Supplied -0.48 0.06 +112.5
2021-05-07 16:46:41,078 root WARNING  CMP exists, {'Company': 'Compass Minerals International, Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 0.63, 'Reported EPS': -6.59, 'Surprise(%)': -1141.07, 'Earnings Date': '2021-05-03'} data overwritten Compass Minerals International, Inc. Time Not Supplied 0.63 -6.59 -1141.07
2021-05-07 16:46:41,078 root WARNING  CVGI exists, {'Company': 'Commercial Vehicle Group, Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 0.07, 'Reported EPS': 0.27, 'Surprise(%)': 285.71, 'Earnings Date': '2021-05-03'} data overwritten Commercial Vehicle Group, Inc. Time Not Supplied 0.07 0.27 +285.71
2021-05-07 16:46:41,080 root WARNING  CQP exists, {'Company': 'Cheniere Energy Partners LP', 'Earnings Call Time': 'Before Market Open', 'EPS Estimate': 0.64, 'Reported EPS': 0.64, 'Surprise(%)': '-', 'Earnings Date': '2021-05-07'} data overwritten Cheniere Energy Partners, L.P. Time Not Supplied 0.64 0.64 -0.31
2021-05-07 16:46:41,082 root WARNING  VST exists, {'Company': 'Vistra Corp', 'Earnings Call Time': 'Before Market Open', 'EPS Estimate': -2.33, 'Reported EPS': -4.21, 'Surprise(%)': -80.69, 'Earnings Date': '2021-05-05'} data overwritten Vistra Corp. Time Not Supplied -2.33 -4.21 -80.38
2021-05-07 16:46:42,950 root WARNING  RVI exists, {'Company': 'Retail Value Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-03'} data overwritten Retail Value Inc. Time Not Supplied - - -
2021-05-07 16:46:42,950 root WARNING  PKI exists, {'Company': 'PerkinElmer, Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 3.07, 'Reported EPS': 3.72, 'Surprise(%)': 21.01, 'Earnings Date': '2021-05-03'} data overwritten PerkinElmer, Inc. Time Not Supplied 3.07 3.72 +21.01
2021-05-07 16:46:42,952 root WARNING  NBLX exists, {'Company': 'Noble Midstream Partners LP', 'Earnings Call Time': 'Before Market Open', 'EPS Estimate': 0.52, 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-07'} data overwritten Noble Midstream Partners LP Time Not Supplied 0.53 - -
